name;Gold;Silver;Bronze;Total
United States of America;39;41;33;113
People's Republic of China;38;32;18;88
Japan;27;14;17;58
Great Britain;22;21;22;65
ROC;20;28;23;71
Australia;17;7;22;46
Netherlands;10;12;14;36
France;10;12;11;33
Germany;10;11;16;37
Italy;10;10;20;40
Canada;7;6;11;24
Brazil;7;6;8;21
New Zealand;7;6;7;20
Cuba;7;3;5;15
Hungary;6;7;7;20
Republic of Korea;6;4;10;20
Poland;4;5;5;14
Czech Republic;4;4;3;11
Kenya;4;4;2;10
Norway;4;2;2;8
Jamaica;4;1;4;9
Spain;3;8;6;17
Sweden;3;6;0;9
Switzerland;3;4;6;13
Denmark;3;4;4;11
Croatia;3;3;2;8
Islamic Republic of Iran;3;2;2;7
Serbia;3;1;5;9
Belgium;3;1;3;7
Bulgaria;3;1;2;6
Slovenia;3;1;1;5
Uzbekistan;3;0;2;5
Georgia;2;5;1;8
Chinese Taipei;2;4;6;12
Turkey;2;2;9;13
Greece;2;1;1;4
Uganda;2;1;1;4
Ecuador;2;1;0;3
Ireland;2;0;2;4
Israel;2;0;2;4
Qatar;2;0;1;3
Bahamas;2;0;0;2
Kosovo;2;0;0;2
Ukraine;1;6;12;19
Belarus;1;3;3;7
Romania;1;3;0;4
Venezuela;1;3;0;4
India;1;2;4;7
Hong Kong, China;1;2;3;6
Philippines;1;2;1;4
Slovakia;1;2;1;4
South Africa;1;2;0;3
Austria;1;1;5;7
Egypt;1;1;4;6
Indonesia;1;1;3;5
Ethiopia;1;1;2;4
Portugal;1;1;2;4
Tunisia;1;1;0;2
Estonia;1;0;1;2
Fiji;1;0;1;2
Latvia;1;0;1;2
Thailand;1;0;1;2
Bermuda;1;0;0;1
Morocco;1;0;0;1
Puerto Rico;1;0;0;1
Colombia;0;4;1;5
Azerbaijan;0;3;4;7
Dominican Republic;0;3;2;5
Armenia;0;2;2;4
Kyrgyzstan;0;2;1;3
Mongolia;0;1;3;4
Argentina;0;1;2;3
San Marino;0;1;2;3
Jordan;0;1;1;2
Malaysia;0;1;1;2
Nigeria;0;1;1;2
Bahrain;0;1;0;1
Lithuania;0;1;0;1
Namibia;0;1;0;1
North Macedonia;0;1;0;1
Saudi Arabia;0;1;0;1
Turkmenistan;0;1;0;1
Kazakhstan;0;0;8;8
Mexico;0;0;4;4
Finland;0;0;2;2
Botswana;0;0;1;1
Burkina Faso;0;0;1;1
Côte d'Ivoire;0;0;1;1
Ghana;0;0;1;1
Grenada;0;0;1;1
Kuwait;0;0;1;1
Republic of Moldova;0;0;1;1
Syrian Arab Republic;0;0;1;1
Afghanistan;0;0;0;0
Albania;0;0;0;0
Algeria;0;0;0;0
American Samoa;0;0;0;0
Andorra;0;0;0;0
Angola;0;0;0;0
Antigua and Barbuda;0;0;0;0
Aruba;0;0;0;0
Bangladesh;0;0;0;0
Barbados;0;0;0;0
Belize;0;0;0;0
Benin;0;0;0;0
Bhutan;0;0;0;0
Bolivia;0;0;0;0
Bosnia and Herzegovina;0;0;0;0
Brunei Darussalam;0;0;0;0
Burundi;0;0;0;0
Cambodia;0;0;0;0
Cameroon;0;0;0;0
Cape Verde;0;0;0;0
Cayman Islands;0;0;0;0
Central African Republic;0;0;0;0
Chad;0;0;0;0
Chile;0;0;0;0
Comoros;0;0;0;0
Congo;0;0;0;0
Cook Islands;0;0;0;0
Costa Rica;0;0;0;0
Cyprus;0;0;0;0
Democratic Republic of the Congo;0;0;0;0
Djibouti;0;0;0;0
Dominica;0;0;0;0
El Salvador;0;0;0;0
Equatorial Guinea;0;0;0;0
Eritrea;0;0;0;0
Eswatini;0;0;0;0
Federated States of Micronesia;0;0;0;0
Gabon;0;0;0;0
Gambia;0;0;0;0
Guam;0;0;0;0
Guatemala;0;0;0;0
Guinea;0;0;0;0
Guinea-Bissau;0;0;0;0
Guyana;0;0;0;0
Haiti;0;0;0;0
Honduras;0;0;0;0
Iceland;0;0;0;0
Iraq;0;0;0;0
Kiribati;0;0;0;0
Lao People's Democratic Republic;0;0;0;0
Lebanon;0;0;0;0
Lesotho;0;0;0;0
Liberia;0;0;0;0
Libya;0;0;0;0
Liechtenstein;0;0;0;0
Luxembourg;0;0;0;0
Madagascar;0;0;0;0
Malawi;0;0;0;0
Maldives;0;0;0;0
Mali;0;0;0;0
Malta;0;0;0;0
Marshall Islands;0;0;0;0
Mauritania;0;0;0;0
Mauritius;0;0;0;0
Monaco;0;0;0;0
Montenegro;0;0;0;0
Mozambique;0;0;0;0
Myanmar;0;0;0;0
Nauru;0;0;0;0
Nepal;0;0;0;0
Nicaragua;0;0;0;0
Niger;0;0;0;0
Oman;0;0;0;0
Pakistan;0;0;0;0
Palau;0;0;0;0
Palestine;0;0;0;0
Panama;0;0;0;0
Papua New Guinea;0;0;0;0
Paraguay;0;0;0;0
Peru;0;0;0;0
Refugee Olympic Team;0;0;0;0
Rwanda;0;0;0;0
Saint Kitts and Nevis;0;0;0;0
Saint Lucia;0;0;0;0
Samoa;0;0;0;0
Sao Tome and Principe;0;0;0;0
Senegal;0;0;0;0
Seychelles;0;0;0;0
Sierra Leone;0;0;0;0
Singapore;0;0;0;0
Solomon Islands;0;0;0;0
Somalia;0;0;0;0
South Sudan;0;0;0;0
Sri Lanka;0;0;0;0
St Vincent and the Grenadines;0;0;0;0
Sudan;0;0;0;0
Suriname;0;0;0;0
Tajikistan;0;0;0;0
Togo;0;0;0;0
Tonga;0;0;0;0
Trinidad and Tobago;0;0;0;0
Tuvalu;0;0;0;0
United Arab Emirates;0;0;0;0
United Republic of Tanzania;0;0;0;0
Uruguay;0;0;0;0
Vanuatu;0;0;0;0
Vietnam;0;0;0;0
Virgin Islands, British;0;0;0;0
Virgin Islands, US;0;0;0;0
Yemen;0;0;0;0
Zambia;0;0;0;0
Zimbabwe;0;0;0;0